﻿KM,KM+M,lat,lon,H3_Res_8,H3_Res_9,H3_Res_10,H3_Res_11,location_name,marea,mcenter,memo
19,19+300.0,25.005811,121.4083,884ba0a0c7fffff,894ba0a0c63ffff,8a4ba0a0c62ffff,8b4ba0a0c62efff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
19,19+400.0,25.005967,121.4073,884ba0a0c7fffff,894ba0a0c63ffff,8a4ba0a0c627fff,8b4ba0a0c620fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
19,19+500.0,25.006131,121.4063,884ba0a0c7fffff,894ba0a0c73ffff,8a4ba0a0c71ffff,8b4ba0a0c718fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
19,19+600.0,25.006308,121.4054,884ba0a0c7fffff,894ba0a0c73ffff,8a4ba0a0c717fff,8b4ba0a0c711fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
19,19+621.5,25.006348,121.4052,884ba0a0c7fffff,894ba0a0c73ffff,8a4ba0a0c717fff,8b4ba0a0c715fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
19,19+700.0,25.006499,121.4044,884ba0a0c7fffff,894ba0a0c73ffff,8a4ba0a0c737fff,8b4ba0a0c732fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
19,19+800.0,25.006704,121.4034,884ba0a0c5fffff,894ba0a0c47ffff,8a4ba0a0c46ffff,8b4ba0a0c46bfff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
19,19+900.0,25.006923,121.4025,884ba0a0c5fffff,894ba0a0c47ffff,8a4ba0a0c467fff,8b4ba0a0c463fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
20,20+000.0,25.007156,121.4015,884ba0a0c5fffff,894ba0a0c47ffff,8a4ba0a0c467fff,8b4ba0a0c466fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
20,20+100.0,25.007403,121.4006,884ba0a0c5fffff,894ba0a0c57ffff,8a4ba0a0c55ffff,8b4ba0a0c55cfff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
20,20+200.0,25.007664,121.3996,884ba0a0c5fffff,894ba0a0c57ffff,8a4ba0a0c557fff,8b4ba0a0c555fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
20,20+300.0,25.007939,121.3987,884ba0a0c5fffff,894ba0a0c53ffff,8a4ba0a0c577fff,8b4ba0a0c576fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
20,20+400.0,25.008226,121.3977,884ba0a0c5fffff,894ba0a0c53ffff,8a4ba0a0c52ffff,8b4ba0a0c52efff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
20,20+500.0,25.008529,121.3968,884ba0a0cdfffff,894ba0a0c53ffff,8a4ba0a0c527fff,8b4ba0a0c520fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
20,20+600.0,25.008844,121.3959,884ba0a0cdfffff,894ba0a0ccbffff,8a4ba0a0cc9ffff,8b4ba0a0cc9dfff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
20,20+700.0,25.009174,121.3949,884ba0a0cdfffff,894ba0a0ccbffff,8a4ba0a0cc87fff,8b4ba0a0cc80fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
20,20+800.0,25.009515,121.394,884ba0a0cdfffff,894ba0a0ccbffff,8a4ba0a0ccb7fff,8b4ba0a0ccb0fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
20,20+900.0,25.009872,121.3931,884ba0a0cdfffff,894ba0a0cdbffff,8a4ba0a0cd9ffff,8b4ba0a0cd9afff,12(迴龍隧道)**,行動北區營運處,桃園營運中心,
21,21+000.0,25.010241,121.3922,884ba0a0cdfffff,894ba0a0cdbffff,8a4ba0a0cd97fff,8b4ba0a0cd90fff,13(迴龍隧道)**,行動北區營運處,桃園營運中心,
21,21+100.0,25.010622,121.3913,884ba0a01bfffff,894ba0a01afffff,8a4ba0a01acffff,8b4ba0a01ac9fff,13(迴龍隧道)**,行動北區營運處,桃園營運中心,
21,21+200.0,25.011017,121.3904,884ba0a01bfffff,894ba0a01afffff,8a4ba0a01aeffff,8b4ba0a01aeafff,13(迴龍隧道)**,行動北區營運處,桃園營運中心,南口
21,21+300.0,25.011426,121.3895,884ba0a01bfffff,894ba0a01afffff,8a4ba0a01ae7fff,8b4ba0a01ae3fff,13(迴龍隧道)**,行動北區營運處,桃園營運中心,延伸段
21,21+400.0,25.011846,121.3887,884ba0a01bfffff,894ba0a01a3ffff,8a4ba0a01a1ffff,8b4ba0a01a19fff,13(迴龍隧道)**,行動北區營運處,桃園營運中心,延伸段
21,21+500.0,25.01228,121.3878,884ba0a01bfffff,894ba0a01a3ffff,8a4ba0a01a07fff,8b4ba0a01a03fff,13(迴龍隧道)**,行動北區營運處,桃園營運中心,延伸段
21,21+504.0,25.012298,121.3878,884ba0a01bfffff,894ba0a01a3ffff,8a4ba0a01a07fff,8b4ba0a01a03fff,13(林口隧道)**,行動北區營運處,桃園營運中心,延伸段
21,21+600.0,25.012726,121.3869,884ba0a01bfffff,894ba0a01a3ffff,8a4ba0a01a37fff,8b4ba0a01a31fff,13(林口隧道)**,行動北區營運處,桃園營運中心,北口
21,21+700.0,25.013184,121.3861,884ba0a01bfffff,894ba0a01b3ffff,8a4ba0a01b1ffff,8b4ba0a01b1bfff,13(林口隧道)**,行動北區營運處,桃園營運中心,
21,21+800.0,25.01365,121.3852,884ba0a01bfffff,894ba0a01b3ffff,8a4ba0a01b17fff,8b4ba0a01b11fff,13(林口隧道)**,行動北區營運處,桃園營運中心,
21,21+900.0,25.014123,121.3844,884ba0a01bfffff,894ba0a01b3ffff,8a4ba0a01b37fff,8b4ba0a01b33fff,13(林口隧道)**,行動北區營運處,桃園營運中心,
22,22+000.0,25.014597,121.3835,884ba0a019fffff,894ba0a0187ffff,8a4ba0a0186ffff,8b4ba0a01869fff,13(林口隧道)**,行動北區營運處,桃園營運中心,
22,22+054.0,25.014853,121.3831,884ba0a019fffff,894ba0a0187ffff,8a4ba0a0186ffff,8b4ba0a0186dfff,13(林口隧道)**,行動北區營運處,桃園營運中心,
22,22+100.0,25.015071,121.3827,884ba0a019fffff,894ba0a0187ffff,8a4ba0a0186ffff,8b4ba0a0186cfff,13(林口隧道)**,行動北區營運處,桃園營運中心,
22,22+200.0,25.015546,121.3819,884ba0a019fffff,894ba0a2a4bffff,8a4ba0a0194ffff,8b4ba0a2a496fff,13(林口隧道)**,行動北區營運處,桃園營運中心,
22,22+300.0,25.016021,121.381,884ba0a019fffff,894ba0a0197ffff,8a4ba0a0194ffff,8b4ba0a0194cfff,13(林口隧道)**,行動北區營運處,桃園營運中心,
22,22+400.0,25.016495,121.3802,884ba0a019fffff,894ba0a0197ffff,8a4ba0a01967fff,8b4ba0a0196efff,13(林口隧道)**,行動北區營運處,桃園營運中心,
22,22+500.0,25.016969,121.3793,884ba0a019fffff,894ba0a0197ffff,8a4ba0a01967fff,8b4ba0a01964fff,13(林口隧道)**,行動北區營運處,桃園營運中心,
22,22+600.0,25.017445,121.3785,884ba0a053fffff,894ba0a052fffff,8a4ba0a052c7fff,8b4ba0a052cefff,13(林口隧道)**,行動北區營運處,桃園營運中心,
22,22+700.0,25.017919,121.3776,884ba0a053fffff,894ba0a052fffff,8a4ba0a052c7fff,8b4ba0a052c4fff,13(林口隧道)**,行動北區營運處,桃園營運中心,
22,22+800.0,25.018393,121.3768,884ba0a053fffff,894ba0a052fffff,8a4ba0a0521ffff,8b4ba0a0521bfff,13(林口隧道)**,行動北區營運處,桃園營運中心,
22,22+900.0,25.018869,121.376,884ba0a053fffff,894ba0a0523ffff,8a4ba0a0521ffff,8b4ba0a0521cfff,13(林口隧道)**,行動北區營運處,桃園營運中心,
23,23+000.0,25.019343,121.3751,884ba0a053fffff,894ba0a0523ffff,8a4ba0a05217fff,8b4ba0a05215fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
23,23+100.0,25.019817,121.3743,884ba0a053fffff,894ba0a0523ffff,8a4ba0a05237fff,8b4ba0a05236fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
23,23+200.0,25.020292,121.3734,884ba0a053fffff,894ba0a0533ffff,8a4ba0a053affff,8b4ba0a053adfff,14(林口隧道)**,行動北區營運處,桃園營運中心,
23,23+300.0,25.020767,121.3726,884ba0a053fffff,894ba0a0533ffff,8a4ba0a05317fff,8b4ba0a05316fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
23,23+400.0,25.021241,121.3717,884ba0a053fffff,894ba0a0507ffff,8a4ba0a0504ffff,8b4ba0a0504dfff,14(林口隧道)**,行動北區營運處,桃園營運中心,
23,23+500.0,25.021716,121.3709,884ba0a051fffff,894ba0a0507ffff,8a4ba0a0506ffff,8b4ba0a0506efff,14(林口隧道)**,行動北區營運處,桃園營運中心,
23,23+600.0,25.02219,121.3701,884ba0a051fffff,894ba0a0507ffff,8a4ba0a05067fff,8b4ba0a05065fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
23,23+700.0,25.022665,121.3692,884ba0a051fffff,894ba0a0517ffff,8a4ba0a0514ffff,8b4ba0a0514efff,14(林口隧道)**,行動北區營運處,桃園營運中心,
23,23+800.0,25.02314,121.3684,884ba0a051fffff,894ba0a0517ffff,8a4ba0a05147fff,8b4ba0a05145fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
23,23+900.0,25.023614,121.3675,884ba0a051fffff,894ba0a0517ffff,8a4ba0a05167fff,8b4ba0a05166fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
24,24+000.0,25.024088,121.3667,884ba0a059fffff,894ba0a058fffff,8a4ba0a058dffff,8b4ba0a058d8fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
24,24+100.0,25.024563,121.3658,884ba0a059fffff,894ba0a058fffff,8a4ba0a058c7fff,8b4ba0a058c2fff,14(林口隧道)**,行動北區營運處,桃園營運中心,豎井A
24,24+200.0,25.025038,121.365,884ba0a059fffff,894ba0a058fffff,8a4ba0a058f7fff,8b4ba0a058f0fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
24,24+300.0,25.025512,121.3642,884ba0a059fffff,894ba0a0583ffff,8a4ba0a0581ffff,8b4ba0a0581afff,14(林口隧道)**,行動北區營運處,桃園營運中心,
24,24+400.0,25.025987,121.3633,884ba0a059fffff,894ba0a0583ffff,8a4ba0a05817fff,8b4ba0a05810fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
24,24+500.0,25.026461,121.3625,884ba0a059fffff,894ba0a0583ffff,8a4ba0a05837fff,8b4ba0a05832fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
24,24+600.0,25.026936,121.3616,884ba0a059fffff,894ba0a059bffff,8a4ba0a059affff,8b4ba0a059a8fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
24,24+700.0,25.027411,121.3608,884ba0a059fffff,894ba0a059bffff,8a4ba0a059a7fff,8b4ba0a05912fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
24,24+800.0,25.027885,121.3599,884ba0a059fffff,894ba0a2367ffff,8a4ba0a2364ffff,8b4ba0a23648fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
24,24+900.0,25.028359,121.3591,884ba0a237fffff,894ba0a2367ffff,8a4ba0a23647fff,8b4ba0a23641fff,14(林口隧道)**,行動北區營運處,桃園營運中心,
25,25+000.0,25.028834,121.3583,884ba0a237fffff,894ba0a2367ffff,8a4ba0a23667fff,8b4ba0a23660fff,15(林口隧道)**,行動北區營運處,桃園營運中心,
25,25+100.0,25.029308,121.3574,884ba0a237fffff,894ba0a2377ffff,8a4ba0a2375ffff,8b4ba0a23759fff,15(林口隧道)**,行動北區營運處,桃園營運中心,
25,25+200.0,25.029783,121.3566,884ba0a237fffff,894ba0a2377ffff,8a4ba0a23747fff,8b4ba0a23742fff,15(林口隧道)**,行動北區營運處,桃園營運中心,
25,25+300.0,25.030258,121.3557,884ba0a237fffff,894ba0a2377ffff,8a4ba0a23777fff,8b4ba0a23771fff,15(林口隧道)**,行動北區營運處,桃園營運中心,豎井B
25,25+400.0,25.030732,121.3549,884ba0a237fffff,894ba0a230fffff,8a4ba0a230dffff,8b4ba0a230dafff,15(林口隧道)**,行動北區營運處,桃園營運中心,
25,25+500.0,25.031206,121.354,884ba0a231fffff,894ba0a230fffff,8a4ba0a230d7fff,8b4ba0a230d1fff,15(林口隧道)**,行動北區營運處,桃園營運中心,
25,25+600.0,25.031681,121.3532,884ba0a231fffff,894ba0a230fffff,8a4ba0a230f7fff,8b4ba0a230f2fff,15(林口隧道)**,行動北區營運處,桃園營運中心,
